year,ActualRate,PredictedRate
1970,82.8660797034291,70.83898560258584
1971,80.40868454661559,107.40419328920949
1972,80.02119766825649,83.15278894568661
1973,86.31319358816276,60.61362598466731
1974,118.48425196850393,143.3747395324138
1975,116.46946564885495,171.34999204482398
1976,119.53459889773424,134.7598816762981
1977,120.0,131.21293757887744
1978,120.12345679012344,120.48689432330195
1979,151.70886075949366,173.73777017505296
1980,115.11199319535015,124.0811905029643
1981,122.26855713094245,109.12344172146334
1982,117.82401604412134,101.31736371140374
1983,106.53819683413626,120.37179674390705
1984,97.13733075435204,116.81007930991225
1985,96.5567059956658,87.67038817717224
1986,97.99815214043733,111.43933021620518
1987,96.63536776212833,102.8366336650315
1988,83.67686170212765,93.55944104440691
1989,92.7578402845134,82.00643942521799
1990,103.74372829023542,73.18400981881533
1991,92.36444116562154,73.99602312665637
1992,85.67994505494505,82.63861985646109
1993,75.59986481919567,116.92382194048933
1994,76.05032405642393,54.471783299990555
1995,89.37853107344633,89.86445679909829
1996,86.1556743909685,115.68360040538244
1997,89.29430358001785,96.97802795817984
1998,83.98111151471122,99.85057802509576
1999,63.8909727431858,60.43966756489393
2000,70.21081576535289,74.03855394981952
2001,78.57866809753772,120.24239509740472
2002,86.4580328814537,106.83180639105124
2003,86.5874363327674,79.60888890854571
2004,92.01131141746201,86.20346431294386
2005,89.75880696948946,105.17709459514616
2006,97.47603048430715,69.43909763454272
2007,101.28831630386496,134.87500530452624
2008,85.31540847983453,91.97191674159639
2009,89.33527413876759,87.99458656301218
2010,86.68582375478928,68.08241304262944
2011,82.6017642682538,89.41470408772389
2012,94.4250490944796,114.7473671143749
2013,118.11553561413349,121.60809908493754
2014,121.96946719239713,91.31950383059106
2015,121.45953028928535,97.46101206826911
2016,114.96062992125984,101.93639918241925
2017,115.75925356300627,91.61162024686851
2018,112.51776649746193,75.05030578067841
2019,112.69816679576556,136.82498595264582
2020,117.6009986382206,121.45599342442719
2021,125.1342171578832,78.48991934624406
2022,143.67722718656918,115.09326309362686
2023,166.29753325130366,115.78783089735923
