year,ActualRate,PredictedRate
1970,1.1275437330868439,
1971,1.193605286131646,
1972,1.2686245559814056,
1973,1.4820480237127684,
1974,1.3145253324132806,
1975,1.2772130607606458,
1976,1.095960654925576,
1977,1.2486916701764719,
1978,1.3642633863598972,
1979,1.2896763980154062,
1980,1.4095199863038768,
1981,1.3371260868731552,
1982,1.2049610505754158,
1983,1.122449255714398,
1984,1.094103496545176,
1985,0.9521027560116679,
1986,0.9177562737167367,
1987,0.9387442805091891,
1988,1.0201838127413045,
1989,0.9183431614944301,
1990,0.8969508003269513,
1991,0.8779487834084015,
1992,0.8751416794401958,
1993,0.8949229020229713,
1994,1.088917941200917,
1995,1.0161799085438084,
1996,1.0916827095013673,
1997,0.9336876189954031,0.7285557203263994
1998,0.9412927504558207,0.759901778428794
1999,0.9436293739212303,1.1093546980864173
2000,0.830723069780738,0.7620245782417343
2001,0.8132837710877824,0.7283270010551282
2002,0.8932373057933596,0.7887853087172477
2003,0.9723752430938107,1.0336445766746076
2004,0.9363580346452471,0.6631456251375883
2005,0.8532930287500322,0.7591941465933701
2006,0.9221811713299302,0.6282958886394747
2007,0.8739302883449807,0.8752622283954078
2008,0.8438304081007718,1.1049021607082465
2009,0.9426423223980246,0.8101347044389741
2010,1.0108124204109716,1.1021237000731858
2011,1.0328648033799155,0.9895701330824302
2012,1.0351938868518202,0.8465723291869174
2013,0.9428810530197727,1.37598458341471
2014,0.9515138839335145,0.7306899469672832
2015,1.0111504173917871,1.1054246407917996
2016,0.971577715725058,0.838189294392623
2017,0.9785102152722472,1.0345726767659698
2018,0.9627817553527871,0.6910530277810828
2019,0.9149135319487609,0.8107218610364191
2020,0.9901691667359847,1.1077295973591037
2021,0.9334842581103928,0.7973493367465007
2022,0.9216031002394962,0.8344406926756645
2023,0.9068473886242568,0.6895477954034038
