year,ActualRate,PredictedRate
1970,0.2343025949953661,0.0
1971,0.255986717752235,0.0
1972,0.2636459989401166,0.0
1973,0.3070283600493218,0.0
1974,0.39,0.0
1975,0.3877862595419847,0.0
1976,0.41183915084711165,0.0
1977,0.547,0.0
1978,0.7319753086419752,0.0
1979,0.7383544303797469,0.0
1980,0.6769492486532463,0.0
1981,0.6591604114539894,0.0
1982,0.6160942592128352,0.0
1983,0.5709566414315209,0.0
1984,0.5112959381044487,0.0
1985,0.6733927281483266,0.0
1986,0.8503233754234679,0.0
1987,1.0166666666666666,0.0
1988,0.7928856382978723,0.0
1989,0.7491108955706435,0.0
1990,0.8953299884214587,0.0
1991,0.8524529693839912,0.0
1992,0.8728708791208791,0.0
1993,0.8933423453869551,0.0
1994,1.0688524590163933,0.0
1995,1.1855714906562365,0.0
1996,1.0179738562091503,0.0
1997,0.9829588401016973,0.7364542020999234
1998,1.113912095895387,1.0777965912109433
1999,0.9022880720180045,0.6937912476514889
2000,0.9162847540482737,0.7553712699329534
2001,0.9496214153699398,1.1603993084908708
2002,1.137582924718777,1.1896050417324033
2003,1.0481849785754709,1.305690309626857
2004,1.062212796041004,0.6725060778847182
2005,0.8848816860686297,1.1338905486823212
2006,0.9550110628533968,0.7093544034269634
2007,0.8807641048422923,1.0619038308800892
2008,1.1450596972830684,1.254121447473671
2009,1.019893255701116,1.2847512464490478
2010,1.0585355470412943,0.9649763348533745
2011,1.0808800085024977,1.0645548695082399
2012,1.0854243945014184,1.0044935027708295
2013,1.1930454290521595,1.526825051563404
2014,1.172884440400364,1.0065334495202516
2015,1.3950206632395927,1.2587077949279697
2016,1.3215551181102363,1.2473610501694732
2017,1.286270891007895,1.5101494190304918
2018,1.3848730964467006,0.9116900064307093
2019,1.3487219209914794,1.450939028414681
2020,1.4589196550158876,1.6160386681600933
2021,1.4095540703407472,0.9076485349222806
2022,1.473382074194422,1.252348498135547
2023,1.5536415304388587,1.0542226823580598
