year,ActualRate,PredictedRate
1970,0.20779911955514366,0.0
1971,0.21446513409961687,0.0
1972,0.20782034976152622,0.0
1973,0.2071649198520345,0.0
1974,0.29668503937007873,0.0
1975,0.30361908396946563,0.0
1976,0.37577913859971424,0.0
1977,0.4380585,0.0
1978,0.5365351851851852,0.0
1979,0.5725113924050633,0.0
1980,0.48026935072299404,0.0
1981,0.4929680289129831,0.0
1982,0.511298069691652,0.0
1983,0.5086703372333103,0.0
1984,0.4673195357833656,0.0
1985,0.707268962196003,0.0
1986,0.9265241761626117,0.0
1987,1.083007042253521,0.0
1988,0.7771988031914893,0.0
1989,0.8157200129324281,0.0
1990,0.9981929756850636,0.0
1991,0.9709597934341572,0.0
1992,0.9974052197802198,0.0
1993,0.9982338627914836,0.0
1994,0.9815730080060998,0.0
1995,1.1666944806605823,0.0
1996,0.9324814319667261,0.0
1997,1.0527705627705628,1.010841287156438
1998,1.1833853977479114,1.4183367137782497
1999,0.9561890472618155,0.625400738689118
2000,1.102996639168958,0.9912689058873503
2001,1.1676384665831991,1.593239447129928
2002,1.2735506201326794,1.5081480709459254
2003,1.077963457029671,1.263190790230296
2004,1.1344088016967127,1.0141152295850369
2005,1.0370197063075401,1.493544903856643
2006,1.035600262230599,1.1290132822021397
2007,1.007819635717459,1.2132407825102267
2008,1.3569784713735076,1.1350520363448058
2009,1.0819514798641436,1.585848920444348
2010,1.0472126436781608,0.875560823879657
2011,1.0464874056754172,1.0757750602195708
2012,1.0485228016583026,1.18654185606986
2013,1.2653191250701066,1.109623661461643
2014,1.2326508947528056,1.3775110136629802
2015,1.3796371333534927,1.1386644991253096
2016,1.3602155511811025,1.4881615149634526
2017,1.3145196349841075,1.4596842280342786
2018,1.4384081218274112,1.319276480645884
2019,1.4741523366899045,1.7896878055808367
2020,1.4734044484793465,1.4588746856749428
2021,1.5099923304481209,1.1383323382770267
2022,1.5987164906580016,1.5008238561806546
2023,1.7132337259037909,1.5288609279670187
